1;2
1;3
1;4
2;5
2;6
2;7
2;8
2;9
2;10
2;11
2;12
3;13
3;14
3;15
3;16
3;17
3;18
3;19
3;20
4;130
4;140
4;150
4;160
4;170
4;180
4;190
4;200
5;21
5;22
5;23
6;24
6;25
6;26
6;27
6;28
6;29
7;30
7;31
7;32
7;33
7;34
8;35
8;36
8;37
8;38
8;39
8;40
9;41
9;42
9;43
9;44
9;45
10;46
10;47
10;48
11;49
12;108
12;109
12;110
12;111
12;112
13;50
13;51
13;52
14;53
14;54
14;55
14;56
14;57
14;58
15;59
15;60
15;61
15;62
15;63
16;64
16;65
16;66
16;67
16;68
16;69
17;70
17;71
17;72
17;73
17;74
18;75
18;76
18;77
19;78
20;113
20;114
20;115
20;116
20;117
130;79
130;80
130;81
140;82
140;83
140;84
140;85
140;86
140;87
150;88
150;89
150;90
150;91
150;92
160;93
160;94
160;95
160;96
160;97
160;98
170;99
170;100
170;101
170;102
170;103
180;104
180;105
180;106
190;107
200;118
200;119
200;120
200;121
200;122
